Age,ShoulderWidth,Waist,Hips,TotalHeight,Size
8,27.94,53.34,35.56,111.76,S
9,30.48,33.02,35.56,116.84,S
9,27.94,30.48,35.56,121.92,S
8,25.4,30.48,30.48,114.3,S
4,25.4,27.94,27.94,96.52,S
4,22.86,25.4,25.4,96.52,S
4,22.86,25.4,27.94,93.98,S
3,22.86,25.4,27.94,91.44,S
3,25.4,22.86,27.94,96.52,S
3,25.4,22.86,27.94,96.52,S
3,25.4,25.4,27.94,99.06,S
3,20.32,22.86,25.4,91.44,S
4,22.86,25.4,25.4,96.52,S
4,22.86,22.86,27.94,93.98,S
13,27.94,33.02,38.1,137.16,S
14,35.56,30.48,40.64,134.62,S
16,33.02,30.48,35.56,137.16,S
15,33.02,33.02,33.02,137.16,S
17,33.02,35.56,43.18,139.7,S
10,27.94,25.4,27.94,111.76,S
15,33.02,33.02,35.56,134.62,S
17,33.02,33.02,35.56,134.62,S
16,33.02,33.02,40.64,132.08,S
18,33.02,38.1,43.18,147.32,S
19,33.02,40.64,45.72,147.32,M
6,27.94,22.86,33.02,111.76,S
6,27.94,22.86,30.48,111.76,S
7,27.94,25.4,33.02,111.76,S
5,25.4,50.8,22.86,99.06,S
7,35.56,58.42,33.02,121.92,S
6,27.94,55.88,30.48,109.22,S
6,25.4,27.94,25.4,101.6,S
6,27.94,27.94,30.48,109.22,S
8,33.02,33.02,33.02,111.76,S
6,27.94,27.94,25.4,104.14,S
6,27.94,30.48,27.94,111.76,S
7,35.56,33.02,30.48,121.92,S
6,33.02,33.02,30.48,121.92,S
7,30.48,33.02,30.48,121.92,S
6,27.94,27.94,27.94,101.6,S
7,25.4,30.48,30.48,114.3,S
6,27.94,30.48,27.94,96.52,S
7,27.94,33.02,33.02,109.22,S
7,30.48,30.48,30.48,114.3,S
7,25.4,30.48,33.02,114.3,S
6,27.94,33.02,27.94,99.06,S
5,30.48,30.48,27.94,99.06,S
5,27.94,33.02,30.48,101.6,S
5,25.4,27.94,27.94,99.06,S
6,30.48,30.48,27.94,104.14,S
7,35.56,33.02,30.48,119.38,S
11,27.94,33.02,30.48,127.0,S
5,30.48,27.94,27.94,96.52,S
4,30.48,33.02,30.48,96.52,S
5,27.94,27.94,25.4,104.14,S
6,27.94,27.94,27.94,101.6,S
7,27.94,33.02,27.94,111.76,S
8,33.02,27.94,33.02,124.46,S
10,30.48,30.48,38.1,129.54,S
10,27.94,27.94,35.56,121.92,S
10,30.48,27.94,35.56,119.38,S
11,35.56,30.48,35.56,132.08,S
11,27.94,30.48,30.48,124.46,S
13,30.48,30.48,35.56,139.7,S
11,33.02,25.4,35.56,132.08,S
12,33.02,30.48,43.18,134.62,S
11,30.48,25.4,30.48,124.46,S
13,38.1,33.02,40.64,124.46,S
12,33.02,30.48,35.56,132.08,S
10,35.56,30.48,30.48,124.46,S
13,35.56,35.56,33.02,137.16,S
12,38.1,30.48,33.02,132.08,S
11,30.48,25.4,27.94,121.92,S
9,35.56,33.02,30.48,121.92,S
10,35.56,25.4,43.18,137.16,S
7,25.4,22.86,33.02,111.76,S
8,27.94,25.4,33.02,114.3,S
10,25.4,25.4,43.18,127.0,S
13,38.1,25.4,40.64,139.7,S
12,33.02,27.94,38.1,144.78,S
10,33.02,27.94,35.56,132.08,S
7,27.94,22.86,25.4,111.76,S
5,25.4,20.32,25.4,99.06,S
5,25.4,20.32,25.4,99.06,S
4,27.94,20.32,33.02,93.98,S
8,33.02,33.02,33.02,114.3,S
8,35.56,27.94,25.4,109.22,S
10,33.02,30.48,27.94,111.76,S
8,30.48,27.94,25.4,109.22,S
8,33.02,27.94,27.94,109.22,S
7,27.94,25.4,25.4,101.6,S
7,33.02,27.94,27.94,114.3,S
9,35.56,30.48,30.48,114.3,S
11,27.94,25.4,25.4,124.46,S
10,33.02,30.48,30.48,116.84,S
11,27.94,30.48,30.48,124.46,S
13,30.48,30.48,27.94,127.0,S
12,27.94,27.94,30.48,127.0,S
12,33.02,30.48,30.48,129.54,S
12,35.56,30.48,30.48,127.0,S
12,25.4,30.48,30.48,129.54,S
11,27.94,27.94,27.94,119.38,S
14,27.94,25.4,27.94,124.46,S
8,27.94,22.86,27.94,111.76,S
5,25.4,20.32,20.32,91.44,S
7,25.4,27.94,25.4,101.6,S
7,35.56,33.02,30.48,109.22,S
7,35.56,33.02,30.48,121.92,S
11,30.48,33.02,27.94,127.0,S
7,27.94,27.94,30.48,119.38,S
6,27.94,30.48,27.94,101.6,S
7,25.4,30.48,30.48,96.52,S
8,25.4,50.8,30.48,119.38,S
5,25.4,30.48,22.86,99.06,S
8,30.48,33.02,33.02,104.14,S
6,33.02,55.88,60.96,111.76,S
